pharmacy,author,date,rating,text,url
Вита Экспресс,А,,,Анонимный отзыв,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Хороший ассортимент медикаментов. Цены адекватные, как правило. Провизоры могут посоветовать аналоги более дешевые, и ваше право решать, купить то что в рецепте или сэкономить и взять подешевле с тем же действующим веществом. С лекарствами по рецептам строго - не продадут. Есть отдел с ортопедическими товарами. Все расскажут и покажут. Очень вежливые и заинтересованные консультанты. Из минусов - бывают очереди. Все-таки место у вокзала и народу много.",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Alex A.,6 апреля 2023,1,"Отвратительная работа аптек. Бронируешь лекарство (СПб., пр. Луначарского 11, корп. 1), приезжаешь с другого конца города и видишь бумажку, на которой написано, что сегодня аптека работает до 18:00, а не до 22:00, как везде указано.",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Лариса Нестерова,27 декабря 2022,2,"Не могу понять почему цены в аптеке отличаются от заявленных на сайте. Вот, пошла в аптеку, посмотрев предварительно цены. Должна была заплатить 468 рублей, а отдала 524 руб. Кто заработал 56 рублей, почему цены не фиксированные ? Говорят : заказывайте на сайте. Заказала как-то, пришла в аптеку в Юнтолово, так сотрудница продемонстрировала всё презрение, на которое была только способна. Думаю, в результате откажусь от услуг этой сети. 3 5",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Лариса Нестерова,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Не могу понять почему цены в аптеке отличаются от заявленных на сайте. Вот, пошла в аптеку, посмотрев предварительно цены. Должна была заплатить 468 рублей, а отдала 524 руб. Кто заработал 56 рублей, почему цены не фиксированные ? Говорят : заказывайте на сайте. Заказала как-то, пришла в аптеку в Юнтолово, так сотрудница продемонстрировала всё презрение, на которое была только способна. Думаю, в результате откажусь от услуг этой сети.",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Larisa Larisa,20 января 2024,5,"Хорошие акции, большой ассортимент, опытные провизоры",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Larisa Larisa,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Лëля,10 августа 2025,5,"Аптека начинает работать очень рано, что порой очень хорошо",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Ирина Ш.,27 декабря 2022,5,"Если лекарство есть в городе, всегда есть большая вероятность наличия в сети аптек Вита. Цены приемлемые. Персонал вежливый 1",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Если лекарство есть в городе, всегда есть большая вероятность наличия в сети аптек Вита. Цены приемлемые. Персонал вежливый",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,А Анонимный отзыв,8 апреля 2019,1,"Отвратительное обслуживание! Фармацевт просто хамка. 7апреля 2019г. Пытались купить препарат Синдранол . Препарат безрецептурный, принимают больные страдающие болезнью Паркинсона. Фармацевт уперлась что нужен рецепт , а где его взять если препарат не являетися рецептурным. Второй год принимаю этот препарат не в одной аптеке проблем не было. Очень бы хотелось чтобы фармацевты владели инфомацией более точной. Ведь с таким диагнозом передвигаться очень сложно 6 3",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Отвратительное обслуживание! Фармацевт просто хамка. 7апреля 2019г. Пытались купить препарат Синдранол . Препарат безрецептурный, принимают больные страдающие болезнью Паркинсона. Фармацевт уперлась что нужен рецепт , а где его взять если препарат не являетися рецептурным. Второй год принимаю этот препарат не в одной аптеке проблем не было. Очень бы хотелось чтобы фармацевты владели инфомацией более точной. Ведь с таким диагнозом передвигаться очень сложно",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Марина Полякова,30 января 2022,5,"Хорошая аптека, но к сожалению, нужных мне наколенников для мамы, именно в этой аптеке не оказалось, а в других только по одному и с учётом цены на две доставки, дешевле было взять в интернет магазине! 2",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Марина Полякова,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Хорошая аптека, но к сожалению, нужных мне наколенников для мамы, именно в этой аптеке не оказалось, а в других только по одному и с учётом цены на две доставки, дешевле было взять в интернет магазине!",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Юлия,8 августа 2019,5,"Пришлось ехать в центральную аптеку на таблетками , которых не было ни в одной ближайшей аптеке. Уточняла наличие через горячую линию, выбрала наиболее удобный мне адрес. В аптеке три провизора, очереди нет. Места много, много акций. Воспользовалась акцией 2+1, очень выгодно. 4 2",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Пришлось ехать в центральную аптеку на таблетками , которых не было ни в одной ближайшей аптеке. Уточняла наличие через горячую линию, выбрала наиболее удобный мне адрес. В аптеке три провизора, очереди нет. Места много, много акций. Воспользовалась акцией 2+1, очень выгодно.",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Дмитрий Гербов,19 января,5,"Очень хорошая аптека, все быстро , и качествено. Рекомендую!",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Дмитрий Гербов,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Людмила Крупнова,23 мая 2023,1,"Хамское обслуживание,безграмотный персонал,зашла в аптеку 21.05.23.за консультацией в результате её не получила,а получила испорченное настроение на весь день!!! 1",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Людмила Крупнова,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Хамское обслуживание,безграмотный персонал,зашла в аптеку 21.05.23.за консультацией в результате её не получила,а получила испорченное настроение на весь день!!!",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Алексей,1 ноября 2022,5,"Мне нравится эта сеть аптек. Цены не кусаются,постоянно какие-то акции,кэшбэк за покупки. 3",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Мне нравится эта сеть аптек. Цены не кусаются,постоянно какие-то акции,кэшбэк за покупки.",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Злая Муха,9 июня 2019,5,Отличные фармацевты! Очень вежливые! 5 1,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Отличные фармацевты! Очень вежливые!,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,МАЯ БРУСНИКИНА,19 января 2025,5,"Удобно, пользуюсь. Нравится обслуживание. 1",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,МАЯ БРУСНИКИНА,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Удобно, пользуюсь. Нравится обслуживание.",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Татьяна Анисимова,23 декабря 2019,2,"Один фармацевт работает, 10 бегают вокруг создавая видимость деятельности. В очереди стояла минут 10. На просьбу открыть ещё одну кассу было заявлено, что это сделать нельзя. Пн, 23.12. 10:30 6 1",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Татьяна Анисимова,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Один фармацевт работает, 10 бегают вокруг создавая видимость деятельности. В очереди стояла минут 10. На просьбу открыть ещё одну кассу было заявлено, что это сделать нельзя. Пн, 23.12. 10:30",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Махшед З.,18 марта 2019,4,"Эти все аптеки под названием вита открылись как грибы после дождя, цены тоже радовали , ноо потихоньку цены поднимаются , причем каждую неделю я это повышение стала замечать , так как приходилось каждую неделю купить ! Еще одно заметила , что если хочешь стрепсис купить , продавцы тут же предлогают аналогы, даже если есть в наличии то что ты хотел. В общем пока перпимо , если также будет дорожать , поменяю на другие аптеки! 2 1",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Эти все аптеки под названием вита открылись как грибы после дождя, цены тоже радовали , ноо потихоньку цены поднимаются , причем каждую неделю я это повышение стала замечать , так как приходилось каждую неделю купить ! Еще одно заметила , что если хочешь стрепсис купить , продавцы тут же предлогают аналогы, даже если есть в наличии то что ты хотел. В общем пока перпимо , если также будет дорожать , поменяю на другие аптеки!",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Георгий Чумилин,27 ноября 2019,2,"Само помещение чистое, красивое, все отлично, однако возникла проблема с провизором за прилавком. Пытался по рецепту приобрести препарат, рецепт ранее получен мной в другом регионе, в государственной клинике. Провизор заявила что этот рецепт ""не понять где получен"" (имеется и печать клиники, и фамилия и инициалы врача), и вообще его пора было сдать в аптеку, хотя я могу им пользоваться ещё пару месяцев. Покупал лекарства до этого в других аптеках по тому же самому рецепту и никаких проблем не было, не приятно, мягко говоря. 10 2",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Георгий Чумилин,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Само помещение чистое, красивое, все отлично, однако возникла проблема с провизором за прилавком. Пытался по рецепту приобрести препарат, рецепт ранее получен мной в другом регионе, в государственной клинике. Провизор заявила что этот рецепт ""не понять где получен"" (имеется и печать клиники, и фамилия и инициалы врача), и вообще его пора было сдать в аптеку, хотя я могу им пользоваться ещё пару месяцев. Покупал лекарства до этого в других аптеках по тому же самому рецепту и никаких проблем не было, не приятно, мягко говоря.",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Елена,1 декабря 2024,3,Очень вредный фармацевт.,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Юрий М.,4 сентября 2021,5,"Отличная аптека, цены оптимальные, грамотные сотрудники 1 2",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Отличная аптека, цены оптимальные, грамотные сотрудники",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Александр Завьялов,30 декабря 2022,5,"Хорошая сеть) уверенно адекватные цены, через сайт, на некоторые препораты, лучшие, уверенная пятёрочка!",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Александр Завьялов,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Андрей Науменко,4 июня 2022,1,"А Андрей Науменко 4 июня 2022 Сами аптеки хорошие, но столкнувшись со службой поддержки и телефонным сервисом я понял что этими вещами в Вите занимаются не профессионалы, а самоделкины. 2",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Андрей Науменко,,,А Андрей Науменко,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Андрей Науменко,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Сами аптеки хорошие, но столкнувшись со службой поддержки и телефонным сервисом я понял что этими вещами в Вите занимаются не профессионалы, а самоделкины.",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Светлана Войтова,16 августа 2023,4,"Большая, просторная аптека, выбор лекарств огромный.",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Светлана Войтова,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,А Анонимный отзыв,20 октября 2019,5,"Большой выбор лекарств, цены ниже средних, нет очередей Спасибо 4 2",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Большой выбор лекарств, цены ниже средних, нет очередей Спасибо",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Ольга Головина,1 июля 2023,5,"Мне нравится, почти все есть в наличии, а чего нет предлагают аналог",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Ольга Головина,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Лидия Х,7 декабря 2018,5,"Доступные цены, Удобный заказ через сайт с бронированием цены и наличия товара в конкретной аптеке! 4 1",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Доступные цены, Удобный заказ через сайт с бронированием цены и наличия товара в конкретной аптеке!",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Андрей Хоружев,8 октября 2019,4,"Смотрю и сравниваю цены и наличие лекарств в разных аптеках. В этой почти всегда есть требуемой лекарство и цена средняя или ниже, чем в других аптеках 4 1",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Андрей Хоружев,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Смотрю и сравниваю цены и наличие лекарств в разных аптеках. В этой почти всегда есть требуемой лекарство и цена средняя или ниже, чем в других аптеках",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,А Анонимный отзыв,12 сентября 2020,4,"Нравится то что фармацевты всегда помогают, чуть что, могут порекомендовать хороший препарат или витамины для того или иного случая. 1",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Нравится то что фармацевты всегда помогают, чуть что, могут порекомендовать хороший препарат или витамины для того или иного случая.",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Маня 😻,14 сентября 2022,4,Хорошие цены. Много выбора. Но продавщицы иногда по замски себя ведут и медленно обслуживают. 1 2,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Хорошие цены. Много выбора. Но продавщицы иногда по замски себя ведут и медленно обслуживают.,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Марина,19 декабря 2022,5,"Удрбный сайт заказа лекарств, очень быстро приходят, цены по городу средние 1",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Удрбный сайт заказа лекарств, очень быстро приходят, цены по городу средние",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Nata.li,14 апреля 2022,1,"Ужасная аптека. Обманули по акции 2=3. Ответа ждали 2,5 месяца. И естественно виноваты мы. 4",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Ужасная аптека. Обманули по акции 2=3. Ответа ждали 2,5 месяца. И естественно виноваты мы.",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Андрей Зяблов,26 ноября 2022,2,"Энгельса 136 не забрать заказ с оплатой по безналу, только наличными 26/11/2022 18:50 1",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Андрей Зяблов,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Энгельса 136 не забрать заказ с оплатой по безналу, только наличными 26/11/2022 18:50",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Василий Бортников,15 апреля 2022,5,"Неплохой ценник по городу . Всегда есть , что нужно . Но лучше друзья не болеть и быть здоровыми ! Чего вам и желаю 6 2",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Василий Бортников,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Неплохой ценник по городу . Всегда есть , что нужно . Но лучше друзья не болеть и быть здоровыми ! Чего вам и желаю",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Regen,9 марта 2024,5,Все хорошо дешево и вкусно,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Любовь Тарасова,1 сентября 2023,5,"Хорошая дешёвая аптека, внимательный персонал",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Любовь Тарасова,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Archyr2,16 марта 2025,5,Отличная аптека!,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Виктория Завьялова,3 марта 2021,5,Заказала заказ.Девушки быстро его собрали.Хорошая аптека. 1 1,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Виктория Завьялова,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Заказала заказ.Девушки быстро его собрали.Хорошая аптека.,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Михаил Петров,13 ноября 2024,3,"Нормальная аптека, но опт тут не купить.",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Михаил Петров,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Александр,3 сентября 2022,1,"Пришла смс, что лекарство на Петербургском д.3к.2 ,получить написано до 4 .08..22 заехал 2.08 днём, заехал 3.08, двери закрыты. Народ дёргается, адвери закрыты. И где получить заказ? 2",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Пришла смс, что лекарство на Петербургском д.3к.2 ,получить написано до 4 .08..22 заехал 2.08 днём, заехал 3.08, двери закрыты. Народ дёргается, адвери закрыты. И где получить заказ?",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Юлия Воробьева,20 сентября 2022,3,"Я удивлена,что многие отмечают низкие цены в этой сети. По моему опыту - это одна из самых дорогих сетей,в которых никогда не найдешь даже более дешёвых аналогов . 3 2",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Юлия Воробьева,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Я удивлена,что многие отмечают низкие цены в этой сети. По моему опыту - это одна из самых дорогих сетей,в которых никогда не найдешь даже более дешёвых аналогов .",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Галина Прокофьева,5 ноября 2024,1,Вы негодяи и подлеци. Вы ничего не знаете и не говорите о препаратах и посылаете стариков из СПб в ЛО .ну кто туда поедет и доедет ли? 1,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Галина Прокофьева,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Вы негодяи и подлеци. Вы ничего не знаете и не говорите о препаратах и посылаете стариков из СПб в ЛО .ну кто туда поедет и доедет ли?,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Margarita L.,7 декабря 2022,5,"Хорошая аптека, цены ниже чем в других, но не намного, приятные фармацевты быстро подобрали аналог лекарства",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Margarita L.,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Kirill V.,15 марта 2023,1,Торгуют просрочкой!!!!! 1,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Торгуют просрочкой!!!!!,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Ида Б.,25 октября 2022,1,"На телефоне робот😡😡😡 Не спросить, не узнать. Посадите вы ЧЕЛОВЕКА на линию. «Кол» - за робота. 2",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"На телефоне робот😡😡😡 Не спросить, не узнать. Посадите вы ЧЕЛОВЕКА на линию. «Кол» - за робота.",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Николай Юрьевич,12 марта 2023,4,"Недостаток в том что в аптеке нет аппарата для измерения давления, чтоб посетители могли легко воспользоваться когда это требуется кому то.",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Николай Юрьевич,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Марина К.,10 мая 2019,5,"Большая аптека,бывают различные скидки.Дают скидочную накопительную карту.Очередей нет. 2 2",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Большая аптека,бывают различные скидки.Дают скидочную накопительную карту.Очередей нет.",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Екатерина Касьянова,15 марта 2023,3,"Неудачно заказала онлайн, возврат здесь - дело непростое.",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Екатерина Касьянова,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Анеле Любимова,1 декабря 2022,5,"Хорошие аптеки, вежливый персонал.",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Анеле Любимова,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Андрей,25 апреля 2022,3,"Обслуживание на 3 с минусом. Могут демонстративно игнорировать , либо втроём обслуживать одного , а другие ждать. 3",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Обслуживание на 3 с минусом. Могут демонстративно игнорировать , либо втроём обслуживать одного , а другие ждать.",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Инга Савина,4 мая 2021,5,Внимательные сотрудники 1,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Инга Савина,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Внимательные сотрудники,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,георгий,2 декабря 2020,3,"Средняя по уровню качества и ассортимента аптечная сеть, в последнее время утратившая часть покупателей из-за опережения конкурентов поднявшейся ценовой планкой 4",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Средняя по уровню качества и ассортимента аптечная сеть, в последнее время утратившая часть покупателей из-за опережения конкурентов поднявшейся ценовой планкой",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Надежда Лосева,3 сентября 2022,3,"Хамоватое обслуживание, захожу редко. 1 1",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Надежда Лосева,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Хамоватое обслуживание, захожу редко.",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Игорь Михайлов,5 марта 2020,5,Дешевые лекарства. Вежливое обслуживание. 1 1,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Игорь Михайлов,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Дешевые лекарства. Вежливое обслуживание.,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Евгений Дуничев,12 августа 2020,5,Дешёвые цены 1 1,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Евгений Дуничев,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Дешёвые цены,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Dmitry K,19 февраля 2020,5,"Цены на многие позиции заметно ниже, чем в других аптеках города. 1 2",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,"Цены на многие позиции заметно ниже, чем в других аптеках города.",https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,А Анонимный отзыв,17 марта 2019,5,Большой выбор лекарств. 4 1,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Большой выбор лекарств.,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Виктория Белова,22 октября 2022,2,Никогда не бывает чисто 2,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Виктория Белова,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Никогда не бывает чисто,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Александр З.,7 февраля 2020,4,Быстро и недорого. 3 1,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Александр З.,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Быстро и недорого.,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Елена Aркадина,24 марта 2020,5,Е Елена Aркадина 24 марта 2020 Хорошая аптека. 1,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Елена Aркадина,,,Е Елена Aркадина,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Елена Aркадина,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Хорошая аптека.,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,Валентина Фадина,5 июля 2022,5,Очень приятный персонал! 3 1,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Валентина Фадина,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
Вита Экспресс,,,,Очень приятный персонал!,https://yandex.ru/maps/org/vita_ekspress/74299776709/reviews/?tab=reviews
